red_circle_smile.ppm	red circle smile
char_dark_skin_blonde_purple_coat_surprise.ppm	character dark skin blonde purple coat surprise
char_dark_skin_blonde_purple_coat_neutral.ppm	character dark skin blonde purple coat neutral
char_dark_skin_brown_hair_purple_coat_smile.ppm	character dark skin brown hair purple coat smile
char_dark_skin_brown_hair_purple_coat_sad.ppm	character dark skin brown hair purple coat sad
char_dark_skin_brown_hair_purple_coat_surprise.ppm	character dark skin brown hair purple coat surprise
char_dark_skin_brown_hair_purple_coat_neutral.ppm	character dark skin brown hair purple coat neutral
motion_jump_f00.ppm	motion jump character leap air frame0
motion_jump_f01.ppm	motion jump character leap air frame1
motion_jump_f02.ppm	motion jump character leap air frame2
motion_jump_f03.ppm	motion jump character leap air frame3
motion_jump_f04.ppm	motion jump character leap air frame4
motion_jump_f05.ppm	motion jump character leap air frame5
motion_jump_f06.ppm	motion jump character leap air frame6
motion_jump_f07.ppm	motion jump character leap air frame7
motion_spin_f00.ppm	motion spin character rotate dance frame0
motion_spin_f01.ppm	motion spin character rotate dance frame1
motion_spin_f02.ppm	motion spin character rotate dance frame2
motion_spin_f03.ppm	motion spin character rotate dance frame3
motion_spin_f04.ppm	motion spin character rotate dance frame4
motion_spin_f05.ppm	motion spin character rotate dance frame5
motion_spin_f06.ppm	motion spin character rotate dance frame6
motion_spin_f07.ppm	motion spin character rotate dance frame7
motion_bow_f00.ppm	motion bow character lean greeting frame0
motion_bow_f01.ppm	motion bow character lean greeting frame1
motion_bow_f02.ppm	motion bow character lean greeting frame2
motion_bow_f03.ppm	motion bow character lean greeting frame3
motion_bow_f04.ppm	motion bow character lean greeting frame4
motion_bow_f05.ppm	motion bow character lean greeting frame5
motion_bow_f06.ppm	motion bow character lean greeting frame6
motion_bow_f07.ppm	motion bow character lean greeting frame7
